Day, CBG(from), id(from), CBG(to), id(to)
30, 160659503021, 2, 490490101084, 1
30, 120810020133, 2, 121150015031, 1
30, 390998125004, 1, 391559333022, 1
30, 210219304001, 1, 470930061041, 1
30, 061070010031, 1, 061070020042, 1
30, 201730100042, 1, 201730095114, 1
30, 420110117022, 1, 420893010012, 1
30, 080410039022, 1, 080410021011, 1
30, 211170668002, 1, 390610207615, 1
30, 320030067001, 9, 060750161001, 1
30, 060570008024, 1, 060610215012, 1
30, 061070022041, 1, 061070010031, 2
30, 530539400031, 1, 060610207171, 1
30, 150070402042, 1, 150070404004, 1
30, 210290204002, 1, 120570139231, 1
30, 320030067001, 10, 490351025001, 1
30, 211239601011, 1, 211239602002, 1
30, 220150111083, 1, 220150112005, 1
30, 060371864032, 1, 060379201081, 1
30, 080010090012, 1, 080050071071, 1
30, 400850942002, 1, 400850942002, 2
30, 490351129212, 1, 490070003004, 1
30, 120330012013, 1, 390490008204, 1
30, 450450030132, 1, 450019504003, 1
30, 180510503001, 1, 171859574001, 1
30, 120860131001, 1, 320030067001, 11
31, 120710105023, 1, 120710104103, 1
31, 131530211074, 1, 360610015011, 1
31, 220710134003, 1, 482015225002, 1
31, 450450028121, 1, 450450028161, 1
31, 420770062042, 1, 420770060015, 1
31, 181730307052, 1, 181630107001, 1
31, 390170111101, 1, 391650319023, 1
31, 201730100042, 1, 201730103004, 1
31, 490111251032, 1, 490572018002, 1
31, 420110117022, 1, 420893010012, 2
31, 080410039022, 1, 461030110041, 1
31, 360850291031, 1, 360850277042, 1
31, 060570008024, 1, 320050014002, 1
31, 420912007072, 1, 420171064022, 1
31, 150070402042, 1, 150030089311, 1
31, 290318804003, 1, 291574705002, 1
31, 060710018031, 1, 060650432421, 1
31, 060373021022, 1, 060371256002, 1
31, 180510504021, 1, 181730303002, 1
31, 484391132101, 1, 484391138131, 1
31, 080010090012, 1, 080010093221, 1
31, 420430245033, 1, 420430241041, 1
31, 400850942002, 1, 481210207001, 1
31, 370670026032, 1, 370670028082, 1
31, 311090037141, 1, 311090101001, 1
31, 210670024001, 1, 211739201002, 1
31, 371939610023, 1, 370030404002, 1
31, 360595209003, 1, 360594151024, 1
31, 450450030132, 1, 450599201011, 1
31, 220150104002, 2, 220150113002, 2
31, 170314804004, 1, 170318438001, 1
31, 180510503001, 1, 181730302004, 1
31, 340258101021, 1, 340030280015, 1
31, 420893003041, 1, 421090705003, 1
31, 490490101084, 1, 490490101092, 1
31, 201730095114, 1, 401091070021, 1
31, 420893010012, 1, 420950113001, 1
31, 061070010031, 2, 060599800001, 1
31, 171859574001, 1, 180510504021, 2
32, 120810020133, 2, 120270104041, 1
32, 390170111101, 1, 390610240021, 1
32, 320310024091, 1, 060570012063, 1
32, 080410039022, 1, 080310036012, 1
32, 360850291031, 1, 360850170122, 1
32, 420912007072, 1, 120990002091, 1
32, 490039606022, 1, 490111251022, 1
32, 211239601011, 1, 211239601024, 1
32, 080010090012, 1, 320310010101, 1
32, 191290401004, 1, 191290401003, 1
32, 400850942002, 1, 400198925003, 1
32, 370670026032, 1, 180071001004, 1
32, 311090037141, 1, 311090031022, 1
32, 210670024001, 1, 211259706004, 1
32, 180839552005, 1, 170230601005, 1
32, 360595209003, 1, 361031103004, 1
32, 490111271004, 1, 490050013001, 1
32, 180290802024, 1, 180290802023, 1
32, 040190043291, 1, 371830524071, 1
32, 160659505002, 1, 160519603002, 1
32, 210670035042, 1, 210670039152, 1
32, 120860131001, 1, 120860161002, 1
32, 390719544004, 1, 390479264002, 1
32, 060670093142, 1, 060670093141, 1
32, 320030058383, 1, 320030029663, 1
32, 490490101084, 1, 490490101131, 1
32, 391559333022, 1, 390998126034, 1
32, 470930061041, 1, 470930062021, 1
32, 061070020042, 1, 060190044091, 1
32, 420893010012, 1, 420893011013, 1
32, 120570139231, 1, 120570133223, 1
32, 211239602002, 1, 211239601025, 1
32, 400850942002, 2, 481130078011, 1
32, 390490008204, 1, 391199112001, 1
32, 320030067001, 11, 060371434002, 1
32, 391650319023, 1, 390610243011, 1
32, 490572018002, 1, 490351014003, 1
32, 420893010012, 2, 420990302011, 1
32, 461030110041, 1, 461030109032, 1
32, 360850277042, 1, 360850132031, 1
32, 150030089311, 1, 320030007003, 1
32, 484391138131, 1, 481130165212, 1
32, 370670028082, 1, 371970505021, 2
32, 170318438001, 1, 170316407001, 1
32, 180510504021, 2, 181730307042, 1
33, 210219304001, 1, 212319201003, 1
33, 220710117002, 1, 220710106001, 1
33, 530539400031, 1, 530330279006, 1
33, 120110105041, 1, 120860067132, 1
33, 290318804003, 1, 291574703001, 1
33, 170999617011, 1, 170938901011, 1
33, 211239601011, 1, 212179204003, 1
33, 060371864032, 1, 060371112042, 1
33, 484391132101, 1, 480850316583, 1
33, 080010090012, 1, 080010093221, 2
33, 191290401004, 1, 311530102064, 1
33, 490351129212, 1, 490359800001, 1
33, 171030009001, 1, 290079502001, 1
33, 220150104002, 2, 484817411001, 1
33, 061070031001, 1, 060190072011, 1
33, 160659505002, 1, 490490101044, 1
33, 210670035042, 1, 360870101013, 1
33, 120860131001, 1, 360610145004, 1
33, 390719544004, 1, 211619601002, 1
33, 471630414001, 1, 471630436003, 1
33, 060379203281, 1, 060379203391, 1
33, 271711001005, 1, 270531261001, 1
33, 180279544002, 1, 180279545003, 1
33, 171194035024, 1, 291892164003, 1
33, 470930061041, 1, 210290211022, 1
33, 420893010012, 1, 420893001012, 1
33, 060610215012, 1, 060610219012, 1
33, 061070010031, 2, 060190028002, 1
33, 490351025001, 1, 490490102184, 1
33, 390490008204, 1, 390490001201, 1
33, 320030067001, 11, 320030067001, 12
33, 360610015011, 1, 340230018052, 1
33, 482015225002, 1, 240054101003, 1
33, 420770060015, 1, 420950159022, 1
33, 201730103004, 1, 201730095091, 1
33, 420893010012, 2, 421039508023, 1
33, 461030110041, 1, 461030110041, 2
33, 420171064022, 1, 340010014001, 1
33, 291574705002, 1, 291574705001, 1
33, 181730303002, 1, 181730307022, 1
33, 484391138131, 1, 482511301001, 1
33, 370670028082, 1, 371970501011, 1
33, 311090101001, 1, 311090013011, 1
33, 170318438001, 1, 170318391002, 1
33, 420950113001, 1, 420770092001, 1
33, 080310036012, 1, 080310041061, 1
33, 490111251022, 1, 490050005014, 1
33, 400198925003, 1, 400198930005, 1
33, 180071001004, 1, 180071003002, 1
33, 120860161002, 1, 551332037024, 1
33, 390998126034, 1, 420076007005, 1
33, 060190044091, 1, 060470005051, 1
33, 120570133223, 1, 120570133221, 1
33, 490351014003, 1, 320079514012, 1
33, 481130165212, 1, 250250302001, 1
34, 530539400031, 1, 530270002004, 1
34, 060770047043, 1, 060670094073, 1
34, 211510105001, 1, 210819203006, 1
34, 171030009001, 1, 310550074613, 1
34, 061070031001, 1, 060830011021, 1
34, 160659505002, 1, 490351138032, 1
34, 180510503001, 1, 181630002013, 1
34, 420893003041, 1, 420879606001, 1
34, 320030058383, 1, 320030051052, 1
34, 180279544002, 1, 181630010003, 1
34, 061070010031, 2, 061070023035, 2
34, 400850942002, 2, 481210217331, 1
34, 390490008204, 1, 390490069213, 1
34, 450019504003, 1, 060670070162, 1
34, 120710104103, 1, 120710104091, 1
34, 360610015011, 1, 360850075002, 1
34, 482015225002, 1, 482015222012, 1
34, 391650319023, 1, 391650316004, 1
34, 490572018002, 1, 490111253052, 1
34, 291574705002, 1, 290318801002, 1
34, 420430241041, 1, 420912005051, 1
34, 311090101001, 1, 311530106272, 1
34, 211739201002, 1, 211739201002, 2
34, 220150113002, 2, 480717104013, 1
34, 181730302004, 1, 180510501001, 1
34, 490490101092, 1, 490490101092, 2
34, 060599800001, 1, 040134226232, 1
34, 180510504021, 2, 180510504021, 3
34, 080310036012, 1, 080010092022, 1
34, 320310010101, 1, 320310010112, 1
34, 311090031022, 1, 311259661001, 1
34, 170230601005, 1, 180571101003, 1
34, 490050013001, 1, 490572020001, 1
34, 390479264002, 1, 391290214012, 1
34, 060670093141, 1, 060670093231, 1
34, 320030029663, 1, 080410045031, 1
34, 490490101131, 1, 160079502001, 1
34, 390610243011, 1, 390610235211, 1
34, 461030109032, 1, 460930204006, 1
34, 360850132031, 1, 360610101001, 1
34, 371970505021, 2, 371939604006, 1
34, 170938901011, 1, 170938901011, 2
34, 060371112042, 1, 060133270005, 1
34, 480850316583, 1, 483970401011, 1
34, 311530102064, 1, 170318051081, 1
34, 270531261001, 1, 271630710181, 1
34, 180279545003, 1, 181050005012, 1
34, 210290211022, 1, 210290202022, 1
34, 420950159022, 1, 421070028002, 1
34, 421039508023, 1, 340373710003, 1
34, 311090013011, 1, 311090036091, 1
34, 080310041061, 1, 080310083862, 1
34, 490050005014, 1, 490050003004, 1
34, 420076007005, 1, 420034592011, 1
34, 250250302001, 1, 390490074942, 1
35, 171030009001, 1, 171030006003, 1
35, 210670024001, 1, 211110103111, 1
35, 040190043291, 1, 481410103411, 1
35, 160659505002, 1, 160199705011, 1
35, 391559333022, 1, 450510706011, 1
35, 360610015011, 1, 360470273002, 1
35, 482015225002, 1, 482014545013, 1
35, 420770060015, 1, 420770067033, 1
35, 420171064022, 1, 420912005011, 1
35, 291574705002, 1, 291574703001, 2
35, 370030404002, 1, 370030404001, 1
35, 360594151024, 1, 360593033021, 1
35, 220150113002, 2, 480679501001, 1
35, 181730302004, 1, 180190503051, 1
35, 421090705003, 1, 420810113022, 1
35, 180510504021, 2, 180839554003, 2
35, 120270104041, 1, 120710302042, 1
35, 080310036012, 1, 080010087093, 1
35, 360850170122, 1, 340230085021, 1
35, 490111251022, 1, 160519603004, 1
35, 400198925003, 1, 480850302034, 1
35, 371830524071, 1, 370010217032, 1
35, 160519603002, 1, 490572101002, 1
35, 390998126034, 1, 390998137004, 1
35, 470930062021, 1, 470930057102, 1
35, 461030109032, 1, 191530102123, 1
35, 181730307042, 1, 181730305004, 1
35, 212319201003, 1, 211999305013, 1
35, 291574703001, 1, 291574703003, 1
35, 060371112042, 1, 060371374013, 1
35, 480850316583, 1, 484391136332, 1
35, 311530102064, 1, 310550073093, 1
35, 290079502001, 1, 291219604003, 1
35, 060190072011, 1, 060190072012, 1
35, 270531261001, 1, 270530223021, 1
35, 180279545003, 1, 180279549001, 1
35, 420893001012, 1, 340057042004, 1
35, 490490102184, 1, 490351130084, 1
35, 420950159022, 1, 420950167001, 1
35, 201730095091, 1, 201730088004, 1
35, 461030110041, 2, 461030116005, 2
35, 340010014001, 1, 420710004002, 1
35, 291574705001, 1, 171670011002, 1
35, 311090013011, 1, 311090102011, 1
35, 420770092001, 1, 420770096003, 1
35, 080310041061, 1, 080050806002, 1
35, 180071003002, 1, 470090102004, 1
35, 250250302001, 1, 250214012001, 1
35, 530270002004, 1, 530270009005, 1
35, 490351138032, 1, 490351131073, 1
35, 320030051052, 1, 320030053552, 1
35, 061070023035, 2, 061070029041, 2
35, 390490069213, 1, 391590506012, 1
35, 391650316004, 1, 391130501052, 1
35, 290318801002, 1, 171819505001, 1
35, 460930204006, 1, 460339652002, 1
35, 371939604006, 1, 010890006022, 1
35, 060133270005, 1, 060952521051, 1
35, 483970401011, 1, 481130125004, 1
35, 181050005012, 1, 181050011022, 1
35, 080310083862, 1, 080050813001, 1
35, 490050003004, 1, 490050004022, 1
35, 390490074942, 1, 391179655004, 1
36, 220150113002, 1, 220150108043, 1
36, 490070003004, 1, 490070005002, 1
36, 120710104103, 1, 120810020122, 2
36, 450450028161, 1, 390170111112, 2
36, 490572018002, 1, 490572020001, 2
36, 360850277042, 1, 340270427003, 1
36, 060650432421, 1, 060650432162, 1
36, 060371256002, 1, 060378002042, 1
36, 181730302004, 1, 211110075024, 1
36, 340030280015, 1, 360610255001, 1
36, 060599800001, 1, 060374082022, 1
36, 120270104041, 1, 121150012041, 2
