day,cbg,susceptible,infectious,recovered
25,320079515002,752,0,1
25,370670026042,1656,0,1
25,160659503012,972,0,1
25,60670093261,2351,1,0
25,120860001131,2196,1,0
25,191731803002,870,1,0
25,270530269071,4211,1,0
25,210670039133,5136,1,0
25,120710105023,1029,1,0
25,61070009002,2357,1,0
25,60373012064,1187,1,0
25,410470103053,2095,1,0
25,420430245031,3553,1,0
25,310550054002,956,1,0
25,211170647002,1961,1,0
25,131530211074,2685,1,0
25,120111001031,2004,1,0
25,320310035043,2932,1,1
25,190039501002,680,1,0
25,371899205001,2550,1,0
25,220710134003,1595,1,0
25,180839554003,1168,1,0
25,171118715003,8571,1,0
26,60590524221,1657,0,1
26,60670057013,1124,0,1
26,160270212003,4765,0,1
26,61070029041,2939,0,1
26,360595203004,451,1,0
26,120110802001,909,0,1
26,320030058442,2631,0,1
26,60190054072,2144,0,1
26,211170640004,922,0,1
26,120570141191,7678,0,1
26,410510072021,3093,0,1
26,310550044001,476,0,1
26,461030114002,1943,0,1
26,310550074652,1126,0,1
26,450450028121,4081,1,0
26,450450030091,4162,0,1
26,171919552003,906,0,1
26,120570133122,1905,0,1
26,120150104041,966,0,1
26,181590204006,942,1,0
26,60190081001,1664,1,0
26,460819663021,2545,1,0
26,490111258071,2198,1,0
26,210930016004,1504,1,0
26,220150112006,1284,1,0
26,180290805001,705,1,0
26,171179567002,1416,1,0
26,420770062042,650,1,0
26,61070023035,1171,1,0
26,160659503021,1727,1,0
26,371970505021,1720,1,0
26,170318031001,1782,1,0
26,320030024032,811,1,0
26,60371863012,947,1,0
26,131530201091,5321,1,0
26,220710063001,645,1,0
27,60190065022,3255,0,1
27,370370202004,2547,0,1
27,181039527003,1477,0,1
27,390610057024,773,0,1
27,320030067001,428,2,6
27,120710019062,6672,0,1
27,420970810003,704,0,1
27,61070023034,1479,0,1
27,490451307021,3873,0,1
27,540790206013,3096,0,1
27,170438465183,1464,0,1
27,460930203012,4087,0,1
27,170259722001,1745,0,1
